Players,Opening,Result,Moves,Year
Paul Morphy (2690) Forde,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation
                          ",1-0,23,1858
Paul Morphy (2690) Rooss,"1. e4 e5 2. f4 exf4 3. Nf3 c6 King's Gambit Accepted: King's Knight Gambit
                          ",1-0,24,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional, Hanstein Gambit
                          ",1-0,19,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Berlin Defense, 6.Nxg4
                          ",1-0,23,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 Ruy López Opening: Berlin Defense, 4.d4
                          ",1-0,20,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 Scandinavian Defense: Modern, Marshall, Tomalty Gambit, Center Counter Variation
                          ",1-0,53,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 Scandinavian Defense: Mieses-Kotrč, Main Line, Anderssen Counterattack, 5.dxe5
                          ",1-0,25,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 c5 2. d4 cxd4 3. Nf3 Nc6 Sicilian Defense: Taimanov, Szén Variation, 5...d6
                          ",1-0,17,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 e6 2. d4 g6 3. Bd3 Bg7 French Defense: Normal Variation
                          ",1-0,35,1858
Paul Morphy (2690) Daniel Harrwitz (2520),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Ruy López Opening: Old Steinitz Defense, 4.d4 exd4 5.Qxd4
                          ",1-0,35,1858
