Players,Opening,Result,Moves,Year
Jules Arnous de Riviere (2450) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Knight Attack, Polerio, Kieseritzky Variation, 6...h6 7.Nf3 e4 8.Qe2 Nxc4 9.dxc4 Bc5
                          ",0-1,20,1863
Jules Arnous de Riviere (2450) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, 9...Bg4
                          ",0-1,38,1863
Jules Arnous de Riviere (2450) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation
                          ",0-1,24,1863
Jules Arnous de Riviere (2450) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Knight Attack, Polerio, Kieseritzky Variation, 6...h6 7.Nf3 e4 8.Qe2 Nxc4 9.dxc4 Bc5
                          ",0-1,54,0
Jules Arnous de Riviere (2450) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, 9...Bg4
                          ",0-1,39,0
Jules Arnous de Riviere (2450) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Tarrasch Variation
                          ",½-½,38,1859
Jules Arnous de Riviere (2450) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Tarrasch Variation
                          ",½-½,36,0
Henry E Bird (2440) Paul Morphy (2690),"1. e4 e5 2. Nf3 d6 3. d4 f5 Philidor Defense: Philidor Countergambit, Zukertort Variation
                          ",0-1,29,1858
Thomas Wilson Barnes (2410) Paul Morphy (2690),"1. e4 e5 2. Nf3 d6 3. d4 f5 Philidor Defense: Philidor Countergambit, del Rio Attack, 6...Bc5
                          ",0-1,24,1858
Thomas Wilson Barnes (2410) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 Ruy López Opening: Morphy Defense, Open
                          ",0-1,40,1858
Thomas Wilson Barnes (2410) Paul Morphy (2690),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange Variation, 4.Nxd4 Nf6
                          ",0-1,22,1859
Thomas Wilson Barnes (2410) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Tarrasch Variation
                          ",0-1,30,0
Thomas Wilson Barnes (2410) Paul Morphy (2690),"1. e4 e5 2. Nf3 d6 3. d4 f5 Philidor Defense: Philidor Countergambit, del Rio Attack, 6...Bc5
                          ",0-1,24,0
Pierre de Saint-Amant (2400) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Center Attack, 5...exd4 6.cxd4 Bb4+ 7.Bd2
                          ",0-1,22,1858
Charles Stanley (2380) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ King's Gambit Accepted: Bishop's Gambit, Bryan Countergambit
                          ",1-0,20,1857
Charles Stanley (2380) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ King's Gambit Accepted: Bishop's Gambit, Bryan Countergambit
                          ",0-1,20,1857
Charles Stanley (2380) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation
                          ",0-1,27,1857
John Owen (2380) Paul Morphy (2690),"1. d4 e6 2. c4 d5 3. e3 Nf6 Tarrasch Defense: Symmetrical Variation
                          ",0-1,47,1858
John Owen (2380) Paul Morphy (2690),"1. e4 d6 2. d4 Nf6 3. Bc4 Nc6 Pirc Defense: 2.d4 Nf6
                          ",0-1,18,0
John Owen (2380) Paul Morphy (2690),"1. e4 Nc6 2. d4 e5 3. Nf3 exd4 Scotch Game: Scotch Gambit
                          ",0-1,33,0
John Owen (2380) Paul Morphy (2690),"1. e4 e6 2. d4 d5 3. Bd3 g6 French Defense: Schlechter Variation
                          ",½-½,30,0
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 d5 3. exd5 e4 King's Gambit Declined: Falkbeer Accepted, Staunton Line, 4.Nc3 Nf6
                          ",1-0,18,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.exd5
                          ",0-1,25,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 Nf6 King's Gambit Accepted: Bishop's Gambit, Cozio, Bogoljubov, Paulsen Attack
                          ",0-1,17,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 d5 3. exd5 e4 King's Gambit Declined: Falkbeer Accepted, Staunton, Charousek, Morphy Defense
                          ",0-1,21,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 d5 3. exd5 e4 King's Gambit Declined: Falkbeer Accepted, Staunton, Charousek, Morphy Defense
                          ",0-1,23,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.exd5
                          ",0-1,25,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 Nf6 King's Gambit Accepted: Bishop's Gambit, Cozio, Bogoljubov, Paulsen Attack
                          ",0-1,17,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.exd5
                          ",0-1,28,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.exd5
                          ",0-1,30,1857
John W Schulten (2335) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.Bxd5 Nf6
                          ",0-1,36,1857
Baucher Jacques (2086) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Berlin Defense, 6.Nxg4
                          ",0-1,44,1858
Fiske Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Knight Attack, Polerio, Kieseritzky Variation, 6...h6 7.Nf3 e4 8.Qe2 Nxc4 9.dxc4 Bc5
                          ",1-0,49,1857
Frederic Deacon Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional Variation, 5.d4 d6
                          ",1-0,46,1858
George Webb Medley Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense
                          ",1-0,30,0
Charles Maurian Paul Morphy (2690),"1. e4 e6 2. d4 d5 3. Bd3 dxe4 French Defense: Schlechter Variation
                          ",1-0,27,0
Mcconell L Honorary Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, 6...Nf6 7.d4 O-O
                          ",0-1,25,1852
Meek A Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo, Sarratt Variation, 5...Nh6 6.Nxf7 Nxf7 7.Bxf7+ Kxf7 8.Qh5+ g6 9.Qxc5
                          ",0-1,21,1855
Meek A Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo, Sarratt Variation, 5...Nh6
                          ",0-1,25,1855
Elkin L Sr Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Berlin, Anderssen Defense, 8.d4 Nh5
                          ",0-1,25,1857
Hammond Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Center Attack, 5...exd4 6.e5 d5
                          ",0-1,28,1857
Kennicot Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo, Sarratt Variation, 5...Nh6 6.Nxf7 Nxf7 7.Bxf7+ Kxf7 8.Qh5+ g6 9.Qxc5
                          ",0-1,24,1857
Lichtenhein T Paul Morphy (2690),"1. d4 f5 2. Nc3 Nf6 3. Bg5 e6 Dutch Defense: Raphael Variation, 2...Nf6
                          ",0-1,33,1857
Lichtenhein T Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Italian Game: Two Knights, Open, 4...exd4 5.e5 d5 6.Bb5 Ne4 7.Nxd4
                          ",0-1,19,1857
Marache Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce Defense
                          ",0-1,20,1857
Mead Paul Morphy (2690),"1. h3 e5 2. e4 Nf6 3. Nc3 Bc5 Clemenz Opening: 1...e5
                          ",0-1,26,1857
Meek A Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Göring Gambit, 4...dxc3 5.Nxc3
                          ",0-1,31,1857
Meek A Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 Ruy López Opening: Berlin Defense, 4.d3 Bc5
                          ",0-1,29,1857
Montgomery Hardman Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, 6...Nf6 7.d4 O-O
                          ",0-1,42,1857
Raphael Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ King's Gambit Accepted: Bishop's Gambit, Bryan Countergambit
                          ",0-1,26,1857
Thompson Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Giuoco Pianissimo, Italian Four Knights Variation
                          ",0-1,21,1857
Thompson Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line, 9.d5
                          ",0-1,26,1857
Thompson Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce Defense
                          ",0-1,42,1857
Thompson Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce Defense
                          ",0-1,28,1857
Thompson Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation
                          ",0-1,46,1857
Kipping J Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, 6.d4 exd4 7.cxd4
                          ",0-1,30,1858
Medley JR Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 Ruy López Opening: Berlin, Rosenthal Variation
                          ",0-1,25,1858
Medley George W Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nge7 Ruy López Opening: Cozio Defense, 4.c3
                          ",0-1,39,1858
Journoud P Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: 4.Nc3
                          ",0-1,38,1858
Budzinsky J Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.Bxd5 Nf6
                          ",0-1,11,1859
Mongredien O Paul Morphy (2690),"1. d4 e6 2. c4 f5 3. f4 Nf6 Dutch Defense: Classical Variation
                          ",0-1,50,1859
Mongredien O Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.Bxd5 Nf6
                          ",0-1,26,1859
Mongredien O Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, 6...Nf6 7.d4 O-O
                          ",0-1,18,1859
Laroche Paul Morphy (2690),"1. e4 e6 2. f4 d5 3. e5 c5 French Defense: La Bourdonnais Variation, 2...d5
                          ",0-1,49,1859
Sicre J M Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Anderssen Variation
                          ",0-1,34,1862
Mongredien O Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.exd5
                          ",0-1,24,1863
Jean Adolphe Laroche Paul Morphy (2690),"1. f4 e6 2. e4 d5 3. e5 c5 French Defense: La Bourdonnais Variation, 2...d5
                          ",0-1,49,0
Felix Sicre Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Anderssen Variation
                          ",0-1,27,0
James Thompson Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line, 9.d5
                          ",0-1,26,0
Colonel Charles Dillingham Mead Paul Morphy (2690),"1. h3 e5 2. e4 Nf6 3. Nc3 Bc5 Clemenz Opening: 1...e5
                          ",0-1,26,0
James Thompson Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Giuoco Pianissimo, Italian Four Knights Variation
                          ",0-1,21,1857
Hardman Philips Montgomery Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, 6...Nf6 7.d4 O-O
                          ",0-1,34,0
James Thompson Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation
                          ",0-1,46,1857
Theodore Lichtenhein Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Two Knights, Open, 4...exd4 5.e5 d5 6.Bb5 Ne4 7.Nxd4
                          ",0-1,19,1857
Theodore Lichtenhein Paul Morphy (2690),"1. d4 f5 2. Nc3 Nf6 3. Bg5 e6 Dutch Defense: Raphael Variation, 2...Nf6
                          ",0-1,34,1857
Francois Charles Devinck Paul Morphy (2690),"1. e4 e6 2. d4 c5 3. d5 d6 Old Benoni Defense: Franco-Benoni Defense
                          ",0-1,23,0
James McConnell Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional Variation
                          ",0-1,23,1849
James McConnell Paul Morphy (2690),"1. e4 e6 2. d4 d5 3. e5 c5 French Defense: Advance Variation, 3...c5 4.c3 Nc6
                          ",0-1,14,1850
NN Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 Ruy López Opening: Berlin Defense, 4.d3 Bc5
                          ",0-1,24,1850
Morphy Ernest Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Stone-Ware Variation
                          ",½-½,29,1854
Lichtenhein T Paul Morphy (2690),"1. d4 d5 2. c4 e6 3. Nc3 Nf6 Queen's Gambit Declined: Three Knights, Semi-Tarrasch Defense, 5.e3 Nc6 6.a3
                          ",½-½,32,1857
Perrin F Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Center Attack, 5...exd4 6.e5 d5
                          ",½-½,35,1857
Mongredien O Paul Morphy (2690),"1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 Bishop's Opening: Boi, McDonnell Double Gambit
                          ",½-½,25,1859
Theodore Lichtenhein Paul Morphy (2690),"1. d4 d5 2. c4 e6 3. Nc3 Nf6 Queen's Gambit Declined: Three Knights, Semi-Tarrasch Defense, 5.e3 Nc6 6.a3
                          ",½-½,31,1857
